1	0	175
1	0	178
175	0	184
175	1	73
178	0	144
178	1	87
184	0	77
184	175	149
73	1	75
73	175	149
144	0	141
144	178	185
87	1	75
87	178	160
77	0	117
77	184	83
149	184	94
75	73	169
149	73	20
141	0	117
141	144	195
185	178	160
185	144	172
75	87	33
160	87	59
117	77	199
83	184	94
83	77	16
94	149	34
169	73	20
169	75	34
20	149	20
117	141	8
195	141	190
160	185	155
172	185	118
33	87	59
33	75	17
199	117	67
94	83	120
16	83	128
34	149	34
34	94	17
34	75	91
8	141	13
8	117	67
190	141	13
190	195	191
155	185	136
155	160	72
118	185	136
118	172	25
59	33	52
17	75	91
17	33	52
67	199	16
120	83	128
120	94	177
128	16	126
17	94	177
17	34	91
13	8	63
67	8	63
13	190	18
191	195	101
191	190	18
136	155	88
72	155	88
136	118	140
25	172	195
25	118	159
52	59	72
52	17	152
16	67	126
128	120	177
126	128	29
63	13	158
63	67	7
18	13	142
101	191	89
18	191	166
88	136	140
88	72	116
140	118	159
159	25	101
72	52	40
152	52	106
126	67	7
29	126	7
158	13	142
158	63	125
7	63	125
142	18	4
89	191	166
89	159	159
166	18	4
140	88	84
116	72	188
116	88	84
159	140	54
40	52	106
40	72	188
106	152	78
7	29	125
142	158	4
125	158	4
166	89	2
159	89	135
4	166	183
84	140	82
188	116	188
84	116	157
54	140	82
54	159	135
106	40	78
78	152	129
125	29	44
4	125	93
2	89	135
2	166	56
183	166	56
183	4	80
82	84	180
157	116	78
157	84	180
82	54	137
135	54	10
129	152	79
129	78	76
44	29	127
44	125	58
93	125	58
93	4	80
135	2	10
56	2	10
56	183	99
80	183	139
180	82	147
78	157	76
180	157	68
137	54	27
137	82	147
10	54	26
79	129	97
76	129	15
127	44	69
58	44	69
58	93	104
80	93	119
10	56	61
99	183	139
99	56	61
139	80	119
147	180	68
76	157	37
68	157	66
27	54	26
27	137	28
147	137	68
26	10	61
97	129	15
15	76	114
69	127	105
69	58	104
104	93	119
139	99	61
119	139	132
37	157	66
37	76	114
66	68	109
26	27	130
28	137	46
28	27	42
68	137	167
61	26	150
15	97	114
105	69	108
104	69	108
119	104	165
61	139	150
132	119	64
66	37	65
114	37	62
109	68	167
109	66	51
130	27	196
130	26	150
46	137	153
46	28	138
42	27	138
42	28	138
167	137	153
108	105	156
108	104	156
165	104	156
165	119	38
150	139	112
64	119	39
64	132	194
65	37	62
65	66	51
51	109	5
196	27	138
196	130	143
150	130	174
153	46	163
138	46	186
153	167	71
156	105	35
156	165	35
38	119	39
38	165	113
112	150	115
39	64	194
194	132	115
62	65	162
51	65	162
5	51	23
138	196	31
143	130	174
143	196	50
174	150	115
163	46	186
163	153	71
186	138	31
71	167	48
35	105	154
35	165	6
39	38	21
113	165	6
113	38	182
115	112	115
194	39	173
115	194	187
162	62	146
162	51	53
23	51	53
23	5	45
31	196	50
174	143	50
115	174	187
186	163	131
71	163	32
31	186	131
48	167	5
48	71	32
154	105	107
154	35	6
21	38	193
21	39	173
6	113	12
182	38	193
182	113	12
173	194	187
146	162	53
53	23	145
45	5	81
45	23	145
50	31	123
50	174	168
187	174	90
131	163	98
32	163	176
131	31	102
5	48	81
32	48	176
107	105	110
107	154	197
6	154	12
193	21	122
173	21	122
193	182	96
12	182	96
187	173	151
53	146	145
123	31	179
123	50	133
168	174	14
168	50	95
90	174	14
90	187	151
98	163	176
98	131	102
102	31	179
81	48	124
176	48	124
197	107	19
12	154	100
122	193	164
122	173	90
96	193	164
96	12	24
151	173	151
179	123	57
133	50	95
133	123	36
14	168	92
95	168	55
14	90	134
176	98	124
102	98	170
179	102	11
124	81	124
19	107	198
19	197	198
100	12	24
164	122	192
90	122	30
164	96	192
24	96	49
57	123	36
57	179	11
95	133	43
36	133	43
92	168	55
92	14	134
55	95	70
134	90	30
170	98	86
170	102	11
98	81	171
198	197	24
24	100	24
192	122	30
192	96	3
49	96	3
49	198	198
36	57	111
11	57	60
43	95	70
43	36	74
55	92	181
134	92	41
70	55	181
30	134	41
86	98	171
86	170	22
11	170	47
171	81	145
30	192	41
3	192	41
3	49	9
198	49	110
111	57	60
111	36	161
70	43	74
74	36	148
181	92	9
41	92	9
181	70	74
171	86	121
22	170	47
22	86	121
41	3	9
9	49	110
60	111	189
161	36	148
161	111	189
148	181	181
9	148	148
121	171	103
47	22	121
110	9	189
189	60	85
148	161	148
189	161	189
103	121	85
121	47	85
189	110	103
85	60	85
85	189	85
