1	0	192
1	0	123
192	0	222
192	1	124
123	0	8
123	1	71
222	0	208
222	192	119
124	1	49
124	192	46
8	0	136
8	123	85
71	1	170
71	123	120
208	0	50
208	222	152
119	192	147
119	222	247
49	1	164
49	124	83
46	192	241
46	124	32
136	0	243
136	8	85
85	123	72
170	1	13
170	71	17
120	123	220
120	71	35
50	0	229
50	208	211
152	222	247
152	208	211
147	192	241
147	119	246
247	119	138
164	1	195
83	124	91
241	46	144
32	124	91
32	46	144
243	0	177
243	136	73
85	136	73
72	123	143
72	85	73
13	1	48
13	170	98
17	71	88
17	170	98
220	123	97
220	120	185
35	71	54
35	120	185
229	0	114
229	50	111
211	50	225
247	152	191
211	152	106
241	147	144
246	119	138
246	147	144
138	247	237
195	1	16
195	164	86
91	83	23
91	32	144
177	0	114
177	243	160
73	243	160
143	123	174
143	72	22
73	72	149
48	1	16
48	13	88
98	13	98
88	71	54
88	13	88
97	123	174
97	220	249
185	220	125
54	35	2
185	35	196
114	229	204
111	50	225
111	229	116
225	211	106
191	152	42
191	247	237
106	152	42
138	246	154
144	246	154
237	138	15
16	195	148
86	164	23
86	195	101
23	83	23
23	91	181
144	91	69
114	177	219
160	177	219
160	73	149
174	143	210
22	72	233
22	143	102
149	72	233
16	48	165
88	48	3
54	88	77
174	97	210
249	220	125
249	97	21
125	185	21
2	35	196
2	54	129
196	185	175
204	229	116
204	114	188
225	111	20
116	111	20
106	225	156
42	191	168
237	191	182
42	106	156
154	138	121
154	144	69
15	138	121
148	195	37
23	86	181
101	195	37
101	86	183
181	91	62
69	91	63
219	114	188
219	160	137
149	160	137
210	143	122
233	22	102
102	143	122
233	149	190
165	48	214
3	48	239
3	88	40
77	88	40
77	54	53
210	97	21
125	249	21
21	185	175
196	2	175
129	54	53
129	2	75
116	204	14
188	204	14
20	225	221
20	116	76
156	225	66
168	191	215
168	42	55
182	191	7
182	237	139
121	154	12
69	154	12
121	15	158
37	148	159
181	86	242
37	101	212
183	101	172
62	91	63
62	181	242
63	69	162
188	219	209
137	219	209
137	149	190
122	210	96
102	233	213
122	102	70
190	233	74
239	3	134
40	3	134
40	77	53
21	210	96
175	21	100
175	2	75
53	129	239
75	129	239
14	116	92
14	188	228
221	225	66
221	20	67
76	116	92
76	20	26
215	191	7
215	168	55
55	42	173
7	182	30
139	182	30
12	121	203
12	69	162
158	15	139
158	121	61
159	148	214
159	37	58
212	101	172
212	37	58
172	183	231
63	62	242
162	63	36
209	188	228
209	137	223
190	137	130
96	122	70
213	233	74
213	102	90
70	102	118
74	190	227
134	53	53
134	40	53
96	21	70
100	21	70
100	175	126
75	175	110
239	75	39
92	14	228
66	221	128
67	20	95
67	221	234
92	76	187
26	20	95
26	76	187
173	42	128
173	55	19
30	7	135
30	158	158
203	12	162
61	158	232
214	159	176
58	159	117
172	212	58
231	183	193
231	172	58
242	63	171
36	63	145
36	162	89
228	209	80
223	137	4
223	209	109
130	137	4
130	190	227
74	213	248
90	102	118
90	213	68
118	70	202
227	74	140
70	100	189
126	175	94
126	100	108
110	175	94
110	75	163
39	75	163
39	239	105
228	92	151
128	221	128
128	66	128
95	67	197
234	221	45
234	67	65
187	92	207
95	26	10
187	26	10
19	55	224
19	221	221
135	7	55
135	30	232
158	30	232
162	203	89
232	61	6
176	159	117
117	231	231
193	183	78
193	231	238
171	63	145
171	242	78
145	36	89
80	209	109
80	228	151
4	223	64
109	223	64
4	130	64
227	130	64
248	213	84
248	74	33
68	213	84
68	90	38
202	70	189
202	118	126
140	74	33
140	227	64
189	100	108
94	126	240
108	202	202
94	110	127
163	110	226
163	39	230
105	239	206
105	39	230
151	92	56
197	67	180
197	95	31
45	19	19
45	234	201
65	67	180
65	234	198
207	92	56
207	187	47
10	95	31
10	187	47
224	55	131
224	19	29
55	135	131
232	135	5
89	203	6
6	61	6
6	232	9
231	117	238
78	183	78
78	193	218
238	193	218
145	171	43
78	171	218
89	145	113
109	80	167
151	80	167
64	109	142
84	248	64
33	248	64
84	68	178
38	90	52
38	68	107
189	108	108
126	118	245
33	140	64
240	126	41
240	94	127
127	110	194
226	110	194
226	163	194
230	163	194
206	239	104
206	105	230
56	151	166
180	197	31
19	45	29
201	234	198
201	45	29
180	65	198
56	207	155
47	207	31
31	10	31
131	224	18
29	224	29
131	135	18
5	135	18
5	232	186
6	89	113
9	232	186
9	6	28
238	117	244
218	238	244
43	171	218
43	145	115
113	145	115
167	109	142
167	151	166
142	84	84
178	68	107
52	38	245
107	38	245
245	118	245
245	126	41
41	240	82
127	240	194
194	230	27
104	239	93
104	206	11
230	206	27
166	56	155
198	201	150
18	224	205
201	224	205
18	5	157
186	5	157
113	6	28
186	9	217
28	9	87
244	117	236
244	43	43
115	43	99
115	113	28
142	167	166
107	178	112
245	107	235
41	245	82
82	240	194
27	82	82
93	104	146
11	206	27
11	104	146
155	142	142
150	201	205
150	198	25
205	18	157
157	186	217
217	9	153
87	9	153
87	115	115
236	117	51
236	244	99
43	244	99
99	115	132
112	107	161
235	107	161
235	245	82
82	27	82
27	11	235
146	11	34
205	150	25
25	198	44
157	205	141
153	217	79
153	87	57
115	87	132
51	236	24
99	236	57
132	99	132
161	112	34
161	11	11
34	146	133
25	205	141
44	198	59
44	25	141
141	157	199
79	217	216
79	153	24
57	99	57
57	153	24
24	236	24
24	51	24
34	112	93
133	34	93
59	198	103
141	44	184
199	141	81
216	217	81
216	79	169
79	51	169
103	59	216
184	141	81
81	199	81
81	216	81
169	216	60
169	51	60
216	59	184
216	103	60
